"FOMC 
Meeting","Greenbook 
Publication 
Date",T,T-8,T-7,T-6,T-5,T-4,T-3,T-2,T-1,T,T+1,T+2,T+3,T+4,T+5,T+6,T+7,T+8,T+9
2006mtg1,25-Jan-06,2006Q1,#N/A,#N/A,#N/A,#N/A,-0.7,-0.7,-0.4,-0.6,-0.4,-0.2,-0.1,-0.1,-0.2,-0.3,-0.3,-0.4,#N/A,#N/A
2006mtg2,22-Mar-06,2006Q1,#N/A,#N/A,#N/A,#N/A,-0.6,-0.5,-0.2,-0.4,-0.1,0,0.1,0.1,0.1,0,0,-0.1,#N/A,#N/A
2006mtg3,3-May-06,2006Q2,#N/A,#N/A,#N/A,-0.5,-0.4,-0.1,-0.4,0.1,0.2,0.1,0.1,0,0,-0.1,-0.2,#N/A,#N/A,#N/A
2006mtg4,21-Jun-06,2006Q2,#N/A,#N/A,#N/A,-0.5,-0.4,-0.1,-0.4,0.3,0,-0.1,-0.3,-0.4,-0.5,-0.7,-0.8,#N/A,#N/A,#N/A
2006mtg5,3-Aug-06,2006Q3,#N/A,#N/A,-0.4,-0.2,0.2,0,0.6,0.6,0.5,0.3,0.1,-0.1,-0.2,-0.4,#N/A,#N/A,#N/A,#N/A
2006mtg6,13-Sep-06,2006Q3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.7,0.7,0.5,0.2,0,-0.1,-0.3,-0.4,-0.4,-0.5,-0.5,-0.5
2006mtg7,18-Oct-06,2006Q4,#N/A,#N/A,#N/A,#N/A,#N/A,0.7,0.6,0.2,0.1,0,-0.2,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,#N/A
2006mtg8,6-Dec-06,2006Q4,#N/A,#N/A,#N/A,#N/A,#N/A,0.7,0.6,0.5,0.1,-0.1,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,#N/A
2007mtg1,24-Jan-07,2007Q1,#N/A,#N/A,#N/A,#N/A,0.7,0.6,0.5,0.4,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,#N/A,#N/A
2007mtg2,14-Mar-07,2007Q1,#N/A,#N/A,#N/A,#N/A,0.8,0.8,0.6,0.5,0.2,0.1,0.1,0,0,-0.1,-0.1,-0.2,#N/A,#N/A
2007mtg3,2-May-07,2007Q2,#N/A,#N/A,#N/A,0.9,0.9,0.7,0.7,0.4,0.4,0.3,0.1,0.1,0.1,0.1,0,#N/A,#N/A,#N/A
2007mtg4,20-Jun-07,2007Q2,#N/A,#N/A,#N/A,0.9,0.9,0.7,0.7,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,#N/A,#N/A,#N/A
2007mtg5,2-Aug-07,2007Q3,#N/A,#N/A,0.9,1,0.7,0.7,0.3,0.6,0.6,0.4,0.3,0.3,0.2,0.2,#N/A,#N/A,#N/A,#N/A
2007mtg6,12-Sep-07,2007Q3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,0.4,0.5,0.2,0,-0.1,-0.2,-0.3,-0.3,-0.3,-0.2,-0.2
2007mtg7,24-Oct-07,2007Q4,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.4,0.7,0.5,0.3,0.2,0.1,0,0,0.1,0.1,0.1,#N/A
2007mtg8,5-Dec-07,2007Q4,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.4,1,0.5,0.1,-0.1,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,#N/A
2008mtg1,23-Jan-08,2008Q1,#N/A,#N/A,#N/A,#N/A,-0.3,0,0.6,0.1,-0.3,-0.6,-0.7,-0.7,-0.8,-0.9,-0.8,-0.8,#N/A,#N/A
2008mtg2,13-Mar-08,2008Q1,#N/A,#N/A,#N/A,#N/A,-0.4,0,0.6,0.1,-0.4,-1.3,-1.6,-2,-2,-1.8,-1.6,-1.3,#N/A,#N/A
2008mtg3,23-Apr-08,2008Q2,#N/A,#N/A,#N/A,-0.3,0,0.6,0.1,-0.3,-1.2,-1.5,-1.9,-2,-1.8,-1.6,-1.3,#N/A,#N/A,#N/A
2008mtg4,18-Jun-08,2008Q2,#N/A,#N/A,#N/A,-0.4,0,0.5,0.1,-0.3,-0.5,-0.9,-1.4,-1.6,-1.6,-1.5,-1.5,#N/A,#N/A,#N/A
2008mtg5,30-Jul-08,2008Q3,#N/A,#N/A,-0.4,0,0.5,0.1,-0.3,-0.3,-0.7,-1.3,-1.5,-1.5,-1.6,-1.5,#N/A,#N/A,#N/A,#N/A
2008mtg6,10-Sep-08,2008Q3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.6,-0.4,-0.9,-1.2,-1.4,-1.5,-1.6,-1.6,-1.6,-1.6,-1.5,-1.4
2008mtg7,22-Oct-08,2008Q4,#N/A,#N/A,#N/A,#N/A,#N/A,-0.6,-0.5,-1.4,-2.3,-3.2,-3.9,-4.3,-4.7,-4.9,-4.9,-4.9,-4.7,#N/A
2008mtg8,10-Dec-08,2008Q4,#N/A,#N/A,#N/A,#N/A,#N/A,-0.7,-0.6,-1.3,-3.1,-4.8,-5.6,-5.9,-6,-6.1,-6.1,-6,-5.8,#N/A
2009mtg1,22-Jan-09,2009Q1,#N/A,#N/A,#N/A,#N/A,-0.7,-0.6,-1.3,-3.2,-5.1,-5.9,-6,-6,-5.9,-5.9,-5.8,-5.5,#N/A,#N/A
2009mtg2,12-Mar-09,2009Q1,#N/A,#N/A,#N/A,#N/A,-0.8,-0.7,-1.4,-3.7,-5.7,-6.7,-7.3,-7.7,-8,-8.2,-8.2,-8.2,#N/A,#N/A
2009mtg3,22-Apr-09,2009Q2,#N/A,#N/A,#N/A,-0.8,-0.7,-1.4,-3.6,-5.6,-6.4,-6.8,-7,-7,-6.9,-6.7,-6.4,#N/A,#N/A,#N/A
2009mtg4,17-Jun-09,2009Q2,#N/A,#N/A,#N/A,-0.8,-0.7,-1.4,-3.6,-5.4,-6.1,-6.4,-6.5,-6.4,-6.2,-5.9,-5.6,#N/A,#N/A,#N/A
2009mtg5,6-Aug-09,2009Q3,#N/A,#N/A,-1.2,-1.5,-2.7,-4.6,-6.6,-7.4,-7.7,-7.8,-7.7,-7.4,-7.1,-6.8,#N/A,#N/A,#N/A,#N/A
2009mtg6,16-Sep-09,2009Q3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-6.6,-7.3,-7.2,-6.9,-6.8,-6.5,-6.1,-5.6,-5.2,-4.7,-4.2,-3.6
2009mtg7,29-Oct-09,2009Q4,#N/A,#N/A,#N/A,#N/A,#N/A,-7,-7.8,-7.6,-7.6,-7.3,-7.1,-6.8,-6.4,-6,-5.5,-5,-4.5,#N/A
2009mtg8,9-Dec-09,2009Q4,#N/A,#N/A,#N/A,#N/A,#N/A,-7,-7.8,-7.8,-7.6,-7.2,-6.9,-6.6,-6.2,-5.8,-5.3,-4.8,-4.2,#N/A
2010mtg1,20-Jan-10,2010Q1,#N/A,#N/A,#N/A,#N/A,-7,-7.8,-7.9,-7.3,-7.2,-6.8,-6.4,-6,-5.6,-5.1,-4.5,-3.9,#N/A,#N/A
2010mtg2,10-Mar-10,2010Q1,#N/A,#N/A,#N/A,#N/A,-7.1,-7.8,-8,-7.3,-7.3,-7,-6.8,-6.4,-6.1,-5.7,-5.2,-4.7,#N/A,#N/A
2010mtg3,21-Apr-10,2010Q2,#N/A,#N/A,#N/A,-7.1,-7.8,-8,-7.3,-7.2,-6.9,-6.6,-6.3,-5.9,-5.5,-5,-4.5,#N/A,#N/A,#N/A
2010mtg4,16-Jun-10,2010Q2,#N/A,#N/A,#N/A,-7,-7.8,-7.9,-7.3,-7.1,-6.8,-6.7,-6.5,-6.3,-6.1,-5.8,-5.4,#N/A,#N/A,#N/A
2010mtg5,4-Aug-10,2010Q3,#N/A,#N/A,-7.4,-8.2,-8.4,-7.9,-7.6,-7.6,-7.7,-7.6,-7.5,-7.3,-7,-6.6,#N/A,#N/A,#N/A,#N/A
2010mtg6,15-Sep-10,2010Q3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-6.8,-7,-7.2,-7.2,-7.2,-7,-6.8,-6.4,-6,-5.6,-5.1,-4.7
2010mtg7,27-Oct-10,2010Q4,#N/A,#N/A,#N/A,#N/A,#N/A,-6.4,-6.6,-6.8,-6.8,-6.8,-6.6,-6.2,-5.8,-5.3,-4.8,-4.3,-3.8,#N/A
2010mtg8,8-Dec-10,2010Q4,#N/A,#N/A,#N/A,#N/A,#N/A,-6.4,-6.6,-6.6,-6.6,-6.4,-6.1,-5.9,-5.5,-5.1,-4.6,-4.2,-3.7,#N/A
2011mtg1,19-Jan-11,2011Q1,#N/A,#N/A,#N/A,#N/A,-6.4,-6.6,-6.6,-6.3,-6,-5.8,-5.4,-5.1,-4.7,-4.2,-3.8,-3.3,#N/A,#N/A
2011mtg2,9-Mar-11,2011Q1,#N/A,#N/A,#N/A,#N/A,-6.2,-6.3,-6.2,-5.9,-5.8,-5.5,-5.1,-4.7,-4.4,-3.9,-3.5,-3,#N/A,#N/A
2011mtg3,20-Apr-11,2011Q2,#N/A,#N/A,#N/A,-6.2,-6.2,-6.1,-5.9,-6,-5.8,-5.4,-5,-4.7,-4.3,-3.9,-3.5,#N/A,#N/A,#N/A
2011mtg4,15-Jun-11,2011Q2,#N/A,#N/A,#N/A,-6,-6.1,-5.9,-5.7,-5.7,-5.8,-5.4,-5.2,-5.1,-4.9,-4.6,-4.2,#N/A,#N/A,#N/A
2011mtg5,3-Aug-11,2011Q3,#N/A,#N/A,-6.4,-5.9,-5.8,-5.6,-6,-6.2,-6,-5.9,-5.9,-5.7,-5.5,-5.2,#N/A,#N/A,#N/A,#N/A
2011mtg6,14-Sep-11,2011Q3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-6,-6.2,-6.2,-6.2,-6.2,-6.1,-6,-5.8,-5.6,-5.3,-5,-4.7
2011mtg7,26-Oct-11,2011Q4,#N/A,#N/A,#N/A,#N/A,#N/A,-6,-6.2,-6.1,-6,-5.9,-5.8,-5.7,-5.6,-5.4,-5.2,-4.9,-4.7,#N/A
2011mtg8,7-Dec-11,2011Q4,#N/A,#N/A,#N/A,#N/A,#N/A,-5.8,-5.8,-5.8,-5.5,-5.4,-5.5,-5.4,-5.2,-5.1,-5.1,-5,-4.8,#N/A
2012mtg1,18-Jan-12,2012Q1,#N/A,#N/A,#N/A,#N/A,-5.7,-5.8,-5.8,-5.5,-5.6,-5.7,-5.6,-5.4,-5.4,-5.4,-5.3,-5.2,#N/A,#N/A
2012mtg2,7-Mar-12,2012Q1,#N/A,#N/A,#N/A,#N/A,-5.2,-5.3,-5.3,-5,-5,-5,-4.8,-4.6,-4.6,-4.4,-4.3,-4,#N/A,#N/A
2012mtg3,18-Apr-12,2012Q2,#N/A,#N/A,#N/A,#N/A,-5.1,-5.1,-4.8,-4.7,-4.7,-4.5,-4.3,-4.3,-4.1,-3.9,-3.7,#N/A,#N/A,#N/A
2012mtg4,13-Jun-12,2012Q2,#N/A,#N/A,#N/A,#N/A,-4.8,-4.8,-4.5,-4.4,-4.5,-4.5,-4.5,-4.5,-4.5,-4.4,-4.3,#N/A,#N/A,#N/A
2012mtg5,25-Jul-12,2012Q3,#N/A,#N/A,#N/A,-4.8,-4.8,-4.5,-4.5,-4.7,-4.8,-4.8,-4.9,-4.9,-4.8,-4.6,#N/A,#N/A,#N/A,#N/A
2012mtg6,5-Sep-12,2012Q3,#N/A,#N/A,#N/A,-4.9,-5,-4.4,-4.4,-4.4,-4.5,-4.6,-4.6,-4.5,-4.3,-4.1,#N/A,#N/A,#N/A,#N/A
2012mtg7,17-Oct-12,2012Q4,#N/A,#N/A,-4.6,-4.6,-4,-4,-4.1,-4.1,-4,-4.1,-3.9,-3.7,-3.4,#N/A,#N/A,#N/A,#N/A,#N/A
2012mtg8,5-Dec-12,2012Q4,-4.4,-4.8,-4.6,-4.6,-4,-4,-4.1,-3.9,-4.1,-4.2,-4.1,-3.9,-3.6,-3.4,-3.2,-2.9,-2.6,#N/A
2013mtg1,23-Jan-13,2013Q1,-4.5,-4.3,-4.4,-3.8,-3.8,-3.9,-3.6,-4,-3.8,-3.7,-3.5,-3.3,-3.2,-3,-2.6,-2.2,#N/A,#N/A
2013mtg2,13-Mar-13,2013Q1,-4.5,-4.3,-4.4,-3.8,-3.8,-3.9,-3.6,-3.9,-3.7,-3.7,-3.5,-3.3,-3.2,-2.9,-2.6,-2.2,#N/A,#N/A
2013mtg3,24-Apr-13,2013Q2,-4.1,-4.1,-3.5,-3.5,-3.6,-3.3,-3.7,-3.4,-3.5,-3.4,-3.1,-2.9,-2.6,-2.3,-1.9,#N/A,#N/A,#N/A
2013mtg4,12-Jun-13,2013Q2,-4.2,-4.2,-3.6,-3.6,-3.8,-3.5,-3.9,-3.8,-3.9,-3.8,-3.4,-3.2,-2.9,-2.6,-2.2,#N/A,#N/A,#N/A
2013mtg5,24-Jul-13,2013Q3,-4.2,-3.6,-3.6,-3.8,-3.5,-3.9,-3.9,-4.2,-4.1,-3.8,-3.5,-3.2,-2.9,-2.6,#N/A,#N/A,#N/A,#N/A
2013mtg6,11-Sep-13,2013Q3,-4.4,-3.6,-3.2,-3.4,-3.1,-3.6,-3.8,-3.6,-3.5,-3.4,-3.2,-3,-2.7,-2.5,-2.2,-1.9,-1.5,-1.3
2013mtg7,23-Oct-13,2013Q4,-3.6,-3.2,-3.4,-3.2,-3.6,-3.8,-3.7,-3.6,-3.6,-3.4,-3.2,-2.9,-2.6,-2.3,-1.9,-1.6,-1.3,#N/A
2013mtg8,12-Dec-13,2013Q4,-3.6,-3.2,-3.4,-3.1,-3.6,-3.8,-3.7,-3.3,-3.4,-3.3,-3.1,-2.9,-2.5,-2.2,-1.8,-1.6,-1.3,#N/A
